gene	sources	n_sources
ACTA2	KEGG:hsa04270	1
ACTC1	KEGG:hsa04261	1
ACTG2	KEGG:hsa04270	1
ADCY1	KEGG:hsa04261;KEGG:hsa04270	2
ADCY2	KEGG:hsa04261;KEGG:hsa04270	2
ADCY3	KEGG:hsa04261;KEGG:hsa04270	2
ADCY4	KEGG:hsa04261;KEGG:hsa04270	2
ADCY5	KEGG:hsa04261;KEGG:hsa04270	2
ADCY6	KEGG:hsa04261;KEGG:hsa04270	2
ADCY7	KEGG:hsa04261;KEGG:hsa04270	2
ADCY8	KEGG:hsa04261;KEGG:hsa04270	2
ADCY9	KEGG:hsa04261;KEGG:hsa04270	2
ADM	KEGG:hsa04270	1
ADM2	KEGG:hsa04270	1
ADORA2A	KEGG:hsa04270	1
ADORA2B	KEGG:hsa04270	1
ADRA1A	GO:GO:0001994;KEGG:hsa04261;KEGG:hsa04270;MANUAL_SEED	4
ADRA1B	KEGG:hsa04261;KEGG:hsa04270;MANUAL_SEED	3
ADRA1D	KEGG:hsa04261;KEGG:hsa04270;MANUAL_SEED	3
ADRA2A	GO:GO:0071875;MANUAL_SEED	2
ADRA2B	GO:GO:0071875;MANUAL_SEED	2
ADRA2C	GO:GO:0071875;MANUAL_SEED	2
ADRB1	KEGG:hsa04261;MANUAL_SEED	2
ADRB2	GO:GO:0071875;KEGG:hsa04261;MANUAL_SEED	3
ADRB3	MANUAL_SEED	1
AGT	KEGG:hsa04261;KEGG:hsa04270	2
AGTR1	KEGG:hsa04261;KEGG:hsa04270	2
AGTR2	KEGG:hsa04261	1
AKAP13	GO:GO:0071875	1
AKT1	KEGG:hsa04261	1
AKT2	KEGG:hsa04261	1
AKT3	KEGG:hsa04261	1
ARAF	KEGG:hsa04270	1
ARHGEF1	KEGG:hsa04270	1
ARHGEF11	KEGG:hsa04270	1
ARHGEF12	KEGG:hsa04270	1
ASCL1	GO:GO:0048485	1
ATF2	KEGG:hsa04261	1
ATF4	KEGG:hsa04261	1
ATF6B	KEGG:hsa04261	1
ATP1A1	KEGG:hsa04261	1
ATP1A2	KEGG:hsa04261	1
ATP1A3	KEGG:hsa04261	1
ATP1A4	KEGG:hsa04261	1
