gene	source
ABCA1	eQTL
ABCF1	eQTL
ABHD17C	nearest,eQTL
AC005022.1	eQTL
AC005029.1	eQTL
AC006547.13	eQTL
AC006547.14	nearest,eQTL
AC007277.3	eQTL
AC007405.4	eQTL
AC007405.6	eQTL
AC008268.1	eQTL
AC008268.2	eQTL
AC009237.16	eQTL
AC011242.6	eQTL
AC064865.1	nearest
AC242988.1	eQTL
ACTN3	eQTL
ACTN4P2	eQTL
ACTR10	eQTL
ACTR1A	eQTL
ACYP1	eQTL
ADAMTSL4	nearest,eQTL
ADAT1	eQTL
AL132989.1	eQTL
AL358113.1	eQTL
AMBRA1	nearest
AMPD3	eQTL
AMT	eQTL
ANKDD1B	nearest,eQTL
ANKRD18EP	eQTL
ANKRD31	eQTL
ANKRD36C	nearest,eQTL
ANXA9	eQTL
AP000318.2	eQTL
APH1A	eQTL
ARFGAP2	eQTL
ARHGAP1	eQTL
ARID4A	nearest,eQTL
ARID5A	eQTL
ARL14EP	eQTL
ARMS2	eQTL
ARNT	eQTL
ARVCF	eQTL
AS3MT	eQTL
ASGR2	eQTL
ASTL	eQTL
ASTN2	nearest
ASXL1	eQTL
ATF6B	eQTL
ATG10	eQTL
ATG13	eQTL
ATP1B2	eQTL
ATP2B1	nearest,eQTL
ATP5SL	eQTL
ATP6AP1L	eQTL
ATRIP	nearest,eQTL
B3GAT2	eQTL
B3GNT8	eQTL
B9D2	eQTL
B9D2|TMEM91	nearest
BANF1	eQTL
BBS1	eQTL
BBS5	eQTL
BCAR1	eQTL
BCKDHA	eQTL
BCL7B	eQTL
BEST1	eQTL
BIRC2	eQTL
BMP8A	eQTL
BMPR2	eQTL
BNIPL	eQTL
BTBD16	eQTL
C10orf32	eQTL
C11orf80	eQTL
C12orf4	eQTL
C12orf5	eQTL
C14orf37	eQTL
C18orf8	eQTL
C19orf69	eQTL
C1orf122	eQTL
C1orf54	eQTL
C1orf87	nearest,eQTL
C20orf112	nearest,eQTL
C22orf39	eQTL
C3orf38	nearest,eQTL
C3orf62	eQTL
C4BPB	eQTL
C6orf3	eQTL
C6orf48	eQTL
CACNA1A	nearest
CACYBP	eQTL
CADM2	nearest
CADM2-AS1	eQTL
CALCB	eQTL
CAMTA1	nearest
CARD14	eQTL
CARF	nearest,eQTL
CARNS1	eQTL
CASC10	eQTL
CASC14	eQTL
CBX1	eQTL
CCDC51	eQTL
CCDC87	eQTL
CCDC97	eQTL
CCND2	eQTL
CCS	eQTL
CCT7P1	eQTL
CD55	eQTL
CD68	eQTL
CDC25A	eQTL
CDC42SE1	eQTL
CDC7	eQTL
CDIP1	eQTL
CDK13	eQTL
CEACAM4	eQTL
CELSR3	eQTL
CERS2	eQTL
CFDP1	nearest,eQTL
CGGBP1	eQTL
CHRNA2	eQTL
CHRNB1	eQTL
CHST6	eQTL
CIAO1	eQTL
CKAP5	eQTL
CNNM1	eQTL
CNNM2	nearest
CNNM4	eQTL
CNTROB	eQTL
COL4A1	nearest
COL4A3BP	eQTL
COMMD7	eQTL
COMT	eQTL
COPB1	eQTL
CORO7	eQTL
CPED1	eQTL
CREBRF	eQTL
CSF1R	eQTL
CSNK1G3	eQTL
CSPG5	eQTL
CTC-359M8.1	eQTL
CTC-435M10.3	eQTL
CTD-2002H8.2	eQTL
CTD-2047H16.2	eQTL
CTD-3074O7.11	eQTL
CTD-3074O7.2	eQTL
CTD-3074O7.5	eQTL
CTSF	eQTL
CTSK	eQTL
CTSS	eQTL
CTSW	eQTL
CUEDC2	eQTL
CYP17A1	eQTL
CYP2C8	eQTL
CYP2C9	eQTL
CYP2S1	eQTL
DALRD3	eQTL
DDB2	eQTL
DDO	eQTL
DDR1	eQTL
DGCR8	eQTL
DGKZ	eQTL
DHX36	eQTL
DLST	nearest,eQTL
DNAH2	eQTL
DNAJA3	eQTL
DOC2GP	eQTL
DPH1	eQTL
DPP3	eQTL
DYNC2LI1	eQTL
DYRK3	eQTL
ECM1	eQTL
EHMT1	nearest
EHMT2	nearest
EIF2B2	eQTL
EIF4A1	eQTL
ENTPD5	eQTL
EPHA10	eQTL
ERICH2	eQTL
ESD	eQTL
EXOSC5	eQTL
EYA2	eQTL
F2	eQTL
FADS1	eQTL
FADS2	eQTL
FADS3	eQTL
FAHD2A	eQTL
FAHD2CP	eQTL
FAM117B	eQTL
FAM47A	nearest,eQTL
FAM63A	eQTL
FBXO31	eQTL
FBXW12	eQTL
FCF1	eQTL
FCF1P2	eQTL
FECH	nearest
FGF11	eQTL
FGF6	nearest
FGFR4	eQTL
FHAD1	eQTL
FHL3	eQTL
FHL5	nearest,eQTL
FLJ00104	eQTL
FLOT1	eQTL
FLVCR2	eQTL
FTH1	eQTL
FXN	eQTL
GAD1	eQTL
GALNT4	eQTL
GATAD2A	eQTL
GCNT4	eQTL
GFOD1	eQTL
GINM1	eQTL
GJA1	nearest,eQTL
GMIP	eQTL
GOLPH3L	eQTL
GPAT2	eQTL
GPR149	nearest
GPR26	nearest
GPX1	eQTL
GXYLT1	eQTL
HARBI1	eQTL
HCG20	eQTL
HCG27	eQTL
HDHD2	eQTL
HELLS	eQTL
HIC1	eQTL
HLA-B	eQTL
HLA-C	eQTL
HLA-DQA1	eQTL
