gene	Brain - Spinal cord (cervical c-1)	Brain - Hypothalamus	Nerve - Tibial	Artery - Tibial	Artery - Aorta	Artery - Coronary	Whole Blood
ABHD17C	5.54334	8.36709	2.89573	2.82672	1.61154	2.83616	0.768191
AC064865.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADAMTSL4	1.54302	1.17464	84.3471	34.2054	45.581	40.0112	16.1989
AMBRA1	5.32145	5.15049	14.7066	15.5661	12.3016	10.6032	3.9782
ANKDD1B	0.503331	0.78508	2.18188	0.414667	0.490161	0.630672	0.0449704
ANKRD36C	1.61861	1.51549	5.59232	3.16291	3.24882	2.61072	0.196442
ARID4A	6.941	5.96263	17.636	16.7761	13.3337	12.9971	5.04963
ASTN2	4.37805	8.24786	8.75134	2.9916	2.67096	1.76276	0.0976322
ATP2B1	8.07531	15.2741	13.9494	12.7641	9.38069	11.1345	7.16286
ATRIP	3.22635	2.50473	14.3122	8.54791	7.17279	7.67126	3.03678
C1orf87	0.136421	0.660754	0.0	0.129685	0.494496	0.101431	0.0
C3orf38	5.79551	5.0949	9.60794	7.13555	9.00767	8.8409	4.23355
CACNA1A	5.95075	9.96381	5.15627	1.74263	0.444144	0.446825	0.145353
CADM2	14.9555	15.5477	11.9857	0.238164	0.141145	0.761266	0.0187428
CALCA	0.132543	0.158017	0.221026	0.197966	0.289261	0.384284	0.0
CALCB	0.186296	1.21008	0.0470908	0.016316	0.0855209	0.0285467	0.0222695
CALCRL	5.03528	2.55242	14.9854	22.8476	9.53765	31.8627	0.271784
CAMTA1	12.6036	17.6396	9.07807	13.8103	12.7986	11.5444	1.16292
CARF	5.59856	2.7396	10.7041	6.43297	5.13887	5.3812	0.377186
CFDP1	45.311	44.5633	53.8644	47.733	45.0269	40.9644	7.76739
CNNM2	2.9807	2.92856	3.70245	8.97539	5.49497	5.59015	0.725698
COL4A1	3.87964	3.0756	129.562	344.142	297.798	375.145	0.23365
CRCP	20.0666	18.959	26.7284	30.1664	23.1911	23.6795	10.8171
DLST	30.066	30.6497	120.937	115.94	106.457	103.153	31.6994
EHMT1	3.72293	3.16924	11.0133	8.57985	7.59745	7.69136	3.34062
EHMT2	29.5564	38.3021	52.9549	34.5073	33.2034	28.5621	8.58409
FAM47A	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FECH	11.1309	8.2431	15.8614	13.9408	14.69	13.4711	10.5172
FGF6	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FHL5	2.82664	2.76369	33.6705	474.902	41.348	113.162	0.039866
GJA1	67.0512	120.733	66.675	74.6761	387.85	100.613	0.305834
GPR149	0.0244002	0.504678	0.0	0.0	0.0	0.0	0.0
GPR26	0.0900147	0.974165	0.379776	0.341114	0.86432	0.500845	0.0
HMOX2	40.208	27.2244	32.2103	19.9717	21.6284	24.3933	15.9049
HNRNPA3P8	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HOXB3	6.15976	0.0421094	9.9841	1.7845	13.1063	7.95375	0.46972
HOXD10	0.0266491	0.0	5.06943	0.0937968	0.0340497	0.0724409	0.0
HPSE2	9.86727	16.6617	0.436391	16.8837	9.10924	1.58594	0.0180564
HTRA1	280.846	183.971	271.339	426.069	810.74	401.293	2.18888
IER3	21.64	10.8023	34.99	76.6117	88.2379	64.0245	49.1764
IFT43	9.82306	10.5412	15.6005	21.5495	26.1664	20.9338	1.155
INPP5A	22.9287	12.7354	48.7265	122.066	83.3975	77.9274	11.4818
INPP5B	5.95861	3.49898	16.465	20.6732	18.2386	16.0581	2.62
INSC	0.172959	0.190197	19.3693	1.29037	0.70312	0.93988	0.569639
ITGB5	19.8872	10.8866	79.1053	230.011	424.317	257.134	2.93269
ITPK1	103.876	62.2337	87.6076	55.9179	36.1858	42.653	39.0451
JAG1	6.80964	7.20071	61.9202	202.86	133.443	150.243	0.666747
KCNK5	0.126108	0.0605588	34.3227	1.71348	1.25566	2.73406	0.636127
KIF26B	2.16305	3.1407	0.586584	0.129262	0.106235	0.166987	0.0114557
KRT19P1	0.0	0.0	0.0428549	0.0	0.0	0.0	0.0
LEPR	2.81905	2.23254	24.9201	8.44763	6.66786	9.56733	0.216932
LRCH1	6.07404	3.70918	16.1666	28.4831	24.2442	19.4508	1.58315
LRFN5	0.622813	4.86026	4.1382	0.0555806	0.295204	0.569642	0.0
LRP1	17.8836	31.4864	189.245	176.584	276.453	191.554	8.46286
MACF1	20.5813	14.5617	16.8105	50.3548	40.9764	42.8034	4.27935
MAPKAPK2	35.4971	18.0416	64.6331	88.5834	87.8309	80.7028	89.5599
MED14	6.81969	4.96847	21.8298	18.2242	15.5275	15.5247	3.51724
MEF2D	12.2089	16.0432	61.454	166.045	80.7256	75.1614	19.7299
